ticker,year,review_count,rating,POST_CHATGPT,word_count_pros,word_count_cons
LINE,2020,52,3.452830188679245,0,348,531
LINE,2021,113,3.324561403508772,0,725,1283
LINE,2022,158,3.418181818181818,0,1009,1432
LINE,2023,135,3.195804195804196,1,919,1359
LINE,2024,132,3.368794326241135,1,910,1391
LINE,2025,79,3.3625,1,456,619
LXP,2015,1,4.0,0,10,8
LXP,2017,1,5.0,0,8,3
LXP,2019,1,5.0,0,7,2
LXP,2021,1,3.0,0,4,3
LXP,2022,1,5.0,0,5,3
MAA,2014,23,3.0434782608695654,0,308,584
MAA,2015,37,3.3421052631578947,0,437,613
MAA,2016,53,3.581818181818182,0,747,1456
MAA,2017,52,3.0,0,696,814
MAA,2018,51,3.4038461538461537,0,453,705
MAA,2019,32,3.96875,0,351,337
MAA,2020,50,3.6666666666666665,0,343,899
MAA,2021,91,3.7708333333333335,0,764,1049
MAA,2022,104,3.7155172413793105,0,888,1452
MAA,2023,67,3.5194805194805197,1,659,698
MAA,2024,82,3.6043956043956045,1,754,1668
MAA,2025,40,3.6511627906976742,1,534,482
MAC,2014,9,3.2222222222222223,0,130,292
MAC,2015,16,3.375,0,197,326
MAC,2016,21,3.0952380952380953,0,284,445
MAC,2017,9,3.4444444444444446,0,112,154
MAC,2018,19,3.1052631578947367,0,145,329
MAC,2019,11,3.4545454545454546,0,96,133
MAC,2020,15,4.333333333333333,0,146,119
MAC,2021,30,4.064516129032258,0,205,189
MAC,2022,18,2.8,0,119,321
MAC,2023,7,4.142857142857143,1,53,55
MAC,2024,15,3.6,1,151,139
MAC,2025,6,3.3333333333333335,1,46,70
MFA,2020,1,4.0,0,4,1
MFA,2021,1,3.0,0,6,4
MFA,2022,2,4.0,0,15,9
MFA,2023,1,3.0,1,6,5
MFA,2024,1,5.0,1,39,6
MPW,2022,1,5.0,0,3,2
MPW,2023,1,2.0,1,5,3
MPW,2024,3,1.0,1,14,58
MPW,2025,3,2.3333333333333335,1,27,51
NHI,2021,1,5.0,0,5,3
NNN,2014,2,2.5,0,28,39
NNN,2015,1,3.0,0,9,32
NNN,2021,2,3.5,0,9,9
NNN,2022,1,3.0,0,12,8
NNN,2023,1,3.0,1,5,5
NNN,2025,1,5.0,1,5,2
NREF,2021,5,3.8,0,91,140
NREF,2022,8,4.25,0,196,65
NREF,2023,1,5.0,1,10,5
NREF,2024,2,4.5,1,11,17
NREF,2025,1,4.0,1,8,7
NSA,2020,2,4.5,0,11,9
NSA,2021,5,2.2,0,29,98
NSA,2022,13,3.230769230769231,0,106,139
NSA,2023,39,4.35,1,588,360
NSA,2024,31,3.6129032258064515,1,270,382
NSA,2025,9,2.3333333333333335,1,61,259
NTST,2022,3,5.0,0,97,24
NTST,2023,2,3.0,1,12,38
NTST,2024,2,5.0,1,24,8
O,2015,2,5.0,0,29,13
O,2016,2,3.5,0,37,33
O,2017,4,5.0,0,127,39
O,2018,1,5.0,0,4,3
O,2019,1,2.0,0,4,38
O,2020,3,5.0,0,21,26
O,2021,8,3.875,0,88,44
O,2022,20,3.7,0,183,479
O,2023,7,3.857142857142857,1,43,178
O,2024,10,3.9,1,93,82
O,2025,7,3.5714285714285716,1,39,71
OHI,2014,5,3.8333333333333335,0,48,62
OHI,2015,16,3.125,0,143,152
OHI,2016,24,3.2916666666666665,0,224,277
OHI,2017,39,3.051282051282051,0,302,351
OHI,2018,33,3.323529411764706,0,181,233
OHI,2019,86,3.4204545454545454,0,561,590
OHI,2020,117,3.308333333333333,0,680,1051
OHI,2021,272,3.7375886524822697,0,1712,1567
OHI,2022,312,3.753012048192771,0,1929,2081
OHI,2023,274,3.757575757575758,1,2010,1930
OHI,2024,390,3.9066985645933014,1,3088,2626
OHI,2025,257,3.8484848484848486,1,1932,2477
OUT,2014,13,2.6,0,191,328
OUT,2015,10,3.272727272727273,0,102,94
OUT,2016,23,2.8260869565217392,0,254,456
OUT,2017,31,2.870967741935484,0,406,490
OUT,2018,15,2.3333333333333335,0,180,245
OUT,2019,13,2.769230769230769,0,137,142
OUT,2020,22,3.5454545454545454,0,289,315
OUT,2021,39,3.3902439024390243,0,384,525
OUT,2022,30,4.0,0,196,222
OUT,2023,41,3.7954545454545454,1,330,600
OUT,2024,42,3.7142857142857144,1,373,530
OUT,2025,31,3.3870967741935485,1,240,384
PDM,2015,1,4.0,0,10,9
PDM,2016,1,4.0,0,6,10
PDM,2017,2,3.6666666666666665,0,19,22
PDM,2018,1,5.0,0,17,7
PDM,2019,1,2.0,0,17,26
PDM,2020,3,2.6666666666666665,0,30,42
PDM,2021,2,5.0,0,25,17
PDM,2022,1,4.0,0,7,10
PDM,2024,2,4.5,1,17,9
PEB,2015,3,2.6666666666666665,0,20,55
PEB,2016,1,4.0,0,10,5
PEB,2020,1,3.0,0,6,5
PEB,2021,1,3.0,0,3,3
PEB,2022,1,5.0,0,22,11
PEB,2023,1,4.0,1,5,4
PEB,2024,1,2.0,1,5,3
PGRE,2016,2,4.0,0,29,25
PGRE,2017,2,3.0,0,10,13
PGRE,2018,1,1.0,0,4,12
PGRE,2019,2,2.0,0,6,18
PGRE,2021,2,3.0,0,10,29
PGRE,2022,6,3.3333333333333335,0,39,68
PGRE,2023,1,3.0,1,4,5
PGRE,2024,1,5.0,1,6,1
PGRE,2025,4,3.25,1,23,16
PK,2019,1,4.0,0,5,4
PK,2020,2,1.0,0,12,16
PK,2021,0,5.0,0,5,2
PK,2022,1,5.0,0,14,2
PK,2024,3,2.6666666666666665,1,13,35
PK,2025,4,2.25,1,17,70
PLYM,2021,1,3.0,0,5,4
PLYM,2022,1,1.0,0,4,21
PLYM,2024,1,5.0,1,5,3
PLYM,2025,1,1.0,1,3,31
PMT,2014,25,2.04,0,231,812
PMT,2015,41,2.8333333333333335,0,450,948
PMT,2016,40,2.441860465116279,0,453,1355
PMT,2017,79,3.419753086419753,0,1131,1354
PMT,2018,42,3.1363636363636362,0,717,635
PMT,2019,61,3.2063492063492065,0,796,1082
PMT,2020,118,4.254237288135593,0,1782,1211
PMT,2021,296,3.579804560260586,0,2780,3731
PMT,2022,375,3.0396039603960396,0,3363,6453
PMT,2023,165,3.0588235294117645,1,1199,2600
PMT,2024,135,2.9510489510489513,1,936,1996
