original_word,word,section,coef,t_stat,p_value,converged,mean_count,std_count,status
renters,renter,cons,-15.28245060587616,-3.316576212840742e-05,0.9999735375504554,True,0.0124223602484472,0.1197432193865114,success
reorgs,reorg,cons,-15.609330888820809,-3.3023417965442684e-05,0.9999736511246652,True,0.0320910973084886,0.3405104802299262,success
reorganization,reorgan,cons,-12.03158052925485,-0.0009811493896321,0.9992171561757728,True,0.0434782608695652,0.3782025608898518,success
reps,rep,cons,-18.58919085217051,-9.46099665537194e-05,0.9999245121685012,True,0.0683229813664596,0.3745123582060844,success
repairs,repair,cons,-7.749406329176147,-0.00058249859812,0.9995352333881536,True,0.1004140786749482,0.7116741949809553,success
repeat,repeat,cons,-15.147579874293251,-5.110273732344486e-05,0.9999592259148926,True,0.0300207039337474,0.2038181089047705,success
repeatedly,repeatedli,cons,-19.04238989409532,-4.13263193349948e-05,0.9999670263678572,True,0.0124223602484472,0.110761208075323,success
repercussions,repercuss,cons,-19.30783359470462,-4.361237756093823e-05,0.9999652023572952,True,0.0134575569358178,0.1152234832711501,success
repetitive,repetit,cons,-13.48047107661025,-0.0010080480697641,0.9991956941448056,True,0.0993788819875776,0.3920266756477855,success
replaced,replac,cons,-13.442607392104808,-0.0011876171911452,0.9990524188017914,True,0.1387163561076604,0.4722221907036276,success
reply,repli,cons,-16.919382802597084,-4.10521712317265e-05,0.999967245106396,True,0.015527950310559,0.1393829968797995,success
report,report,cons,-15.395126356385289,-0.0012807898487236,0.9989780778334676,True,0.3343685300207039,0.9207741391483256,success
representative,repres,cons,-12.157109923788964,-0.0008517242242801,0.9993204224735498,True,0.0320910973084886,0.1930607130056484,success
representation,represent,cons,-16.515753549159562,-2.534426058137884e-05,0.9999797782057792,True,0.0062111801242236,0.0785659046004566,success
reprimanded,reprimand,cons,-18.468218541498565,-6.54490080568144e-05,0.9999477792469889,True,0.0331262939958592,0.2108347762832458,success
reputation,reput,cons,-19.28619416806855,-0.0001054078735166,0.9999158966852898,True,0.0289855072463768,0.1962073252703707,success
request,request,cons,-13.377213957390138,-0.0011550777605968,0.999078381493231,True,0.1325051759834368,0.5355279679200283,success
