ticker,year,mnir_score_pros,mnir_score_cons,mnir_ai_productivity
HR,2019,0.0,0.0,0.0
HR,2020,0.0,0.0,0.0
HR,2021,0.0,0.0,0.0
HR,2022,0.0,0.0,0.0
HR,2023,0.0,0.0,0.0
HR,2024,0.0,0.0,0.0
HR,2025,0.0,0.0,0.0
HST,2008,0.0,0.0,0.0
HST,2012,0.0,0.0,0.0
HST,2013,0.0,0.0,0.0
HST,2014,0.0,0.0,0.0
HST,2015,0.0,0.0,0.0
HST,2017,0.0,0.0,0.0
HST,2019,0.0,0.0,0.0
HST,2020,0.0,0.0,0.0
HST,2021,0.0,0.0,0.0
HST,2022,0.0,0.0,0.0
HST,2024,0.0,0.0,0.0
HST,2025,0.0,0.0,0.0
INN,2014,0.0,0.0,0.0
INN,2016,0.0,0.0,0.0
INN,2019,0.0,0.0,0.0
INN,2021,0.0,0.0,0.0
INN,2022,0.0,0.0,0.0
INN,2023,0.0,0.0,0.0
INN,2024,0.0,0.0,0.0
INN,2025,0.0,0.0,0.0
INVH,2013,0.0,0.0,0.0
INVH,2014,0.0,0.0,0.0
INVH,2015,0.0,0.0,0.0
INVH,2016,0.0,0.0,0.0
INVH,2017,0.0,0.0,0.0
INVH,2018,0.0,0.0,0.0
INVH,2019,0.0,0.0,0.0
INVH,2020,0.0,0.0,0.0
INVH,2021,0.0,0.0,0.0
INVH,2022,0.0,0.0,0.0
INVH,2023,0.0,0.0,0.0
INVH,2024,0.0,0.0,0.0
INVH,2025,0.0,0.0,0.0
IRM,2023,0.0,0.0,0.0
IRM,2024,0.0,0.0,0.0
IRM,2025,0.0,0.0,0.0
IVT,2013,0.0,0.0,0.0
IVT,2014,0.0,0.0,0.0
IVT,2015,0.0,0.0,0.0
IVT,2016,0.0,0.0,0.0
IVT,2017,0.0,0.0,0.0
IVT,2019,0.0,0.0,0.0
IVT,2020,0.0,0.0,0.0
IVT,2021,0.0,0.0,0.0
IVT,2022,0.0,0.0,0.0
IVT,2024,0.0,0.0,0.0
IVT,2025,0.0,0.0,0.0
JBGS,2012,0.0,0.0,0.0
JBGS,2013,0.0,0.0,0.0
