ticker,year,mnir_score_pros,mnir_score_cons,genai_productivity_index
CDP,2025,-0.023094707562742123,-0.030329468883460713,-0.026712088223101418
CLDT,2015,0.017743888623450874,0.11505967904263463,0.06640178383304275
CLDT,2019,-0.008936867751455583,-0.7239548492045147,-0.36644585847798516
CLDT,2021,-0.20481547467355518,-0.12929868238722325,-0.1670570785303892
COLD,2014,-0.05289449095192944,-0.03794108538435849,-0.045417788168143965
COLD,2015,-0.05373223245984154,-0.07062959372424582,-0.06218091309204368
COLD,2016,-0.05719330279166596,-0.055141555462153255,-0.05616742912690961
COLD,2017,-0.06520955721472907,-0.05787477070941979,-0.06154216396207443
COLD,2018,-0.07622641100023823,-0.029384919284965894,-0.052805665142602064
COLD,2019,-0.03705265364211088,-0.03674836053003131,-0.036900507086071094
COLD,2020,-0.06259156946174117,-0.03445904131982661,-0.048525305390783896
COLD,2021,-0.05267255500826572,-0.05018814070135268,-0.0514303478548092
COLD,2022,-0.05788999428181164,-0.032066235372762354,-0.044978114827286995
COLD,2023,-0.06000663157920802,-0.0367321777392883,-0.04836940465924816
COLD,2024,-0.033816263444744865,-0.015809308722715184,-0.024812786083730026
COLD,2025,-0.051217137017835444,-0.04932972490757598,-0.050273430962705715
CPT,2014,-0.09917720206409102,-0.11659041029411227,-0.10788380617910165
CPT,2015,-0.09532113413931552,-0.09780551346745166,-0.09656332380338359
CPT,2016,-0.1293764318184019,-0.07155627881165187,-0.10046635531502687
CPT,2017,-0.1419622411108021,-0.11316344406092854,-0.1275628425858653
CPT,2018,-0.1095639291191053,-0.06415938306242057,-0.08686165609076293
CPT,2019,-0.1421850622816122,-0.08765682295254094,-0.11492094261707658
CPT,2020,-0.1266630286182056,-0.08626546259643554,-0.10646424560732057
CPT,2021,-0.13970551847999743,-0.09148173983980763,-0.11559362915990254
CPT,2022,-0.134898265521028,-0.12530836545658267,-0.13010331548880533
CPT,2023,-0.13971945822931922,-0.0996517657511223,-0.11968561199022076
CPT,2024,-0.11971149751766652,-0.11235615360400049,-0.1160338255608335
CPT,2025,-0.10216112377297554,-0.10065464846989432,-0.10140788612143492
CSR,2014,-0.03861976917109601,-0.02702993215632325,-0.03282485066370963
CSR,2015,-0.16224528189201087,-0.05503594349145587,-0.10864061269173338
CSR,2016,-0.08708551928512813,-0.0970189871288902,-0.09205225320700916
CSR,2017,-0.1118935674474812,-0.20900331077911521,-0.1604484391132982
CSR,2018,-0.0977019027040781,-0.0761148805713313,-0.0869083916377047
CSR,2019,-0.15106380323858537,-0.1178641092882037,-0.13446395626339452
CSR,2020,-0.08032301113773635,-0.08161134162015404,-0.0809671763789452
CSR,2021,-0.1266209214532514,-0.06359133695364647,-0.09510612920344894
CSR,2022,-0.07144487331366148,-0.08406400221627189,-0.07775443776496668
CSR,2023,-0.11936089875240355,-0.13676969320457916,-0.12806529597849137
CSR,2024,-0.03460821716787413,-0.008422866347943267,-0.021515541757908697
CSR,2025,-0.0731249042810752,-0.0014248999165460035,-0.0372749020988106
CUBE,2014,-0.19525549518488622,-0.16064462095027318,-0.1779500580675797
CUBE,2015,-0.1611900090378034,-0.1324037546493762,-0.1467968818435898
CUBE,2016,-0.2051061106236782,-0.1538961569423441,-0.17950113378301114
CUBE,2017,-0.21636787320307999,-0.17574102854797163,-0.1960544508755258
CUBE,2018,-0.1482306553404399,-0.132150404855771,-0.14019053009810545
CUBE,2019,-0.18900314637531912,-0.13189916614001831,-0.1604511562576687
CUBE,2020,-0.11794975696407327,-0.11749313660251125,-0.11772144678329226
CUBE,2021,-0.20023085550510714,-0.19560042139775208,-0.19791563845142962
CUBE,2022,-0.1454118169515334,-0.1260641679735825,-0.13573799246255797
CUBE,2023,-0.18067077403932733,-0.15365695069818375,-0.16716386236875552
CUBE,2024,-0.19478564432727016,-0.18198316179281127,-0.18838440306004073
CUBE,2025,-0.21464181091704104,-0.19719751739752067,-0.20591966415728086
CUZ,2015,-0.10500785182636191,-0.04317586924738432,-0.07409186053687311
CUZ,2016,0.04527644838760875,0.07217736067715999,0.05872690453238437
CUZ,2017,-0.14777097209608636,-0.02124526831315498,-0.08450812020462067
CUZ,2018,-0.13609283144033837,-0.00962902464048804,-0.0728609280404132
CUZ,2019,-0.1150232244256638,0.041641539954804865,-0.03669084223542947
CUZ,2020,-0.07870282099743237,-0.02749709108532483,-0.0530999560413786
CUZ,2021,-0.10552692416709078,-0.03839239410595282,-0.0719596591365218
CUZ,2022,-0.005870318977513178,-0.04681220372858076,-0.02634126135304697
CUZ,2023,-0.053167306201346305,-0.016984393488315958,-0.03507584984483113
CUZ,2024,-0.05355246745943457,-0.009962842860386536,-0.03175765515991055
CUZ,2025,-0.02151287346727529,0.038168933277162254,0.008328029904943482
DEA,2022,-0.06535439360058788,0.1417845884675828,0.03821509743349746
DEA,2025,-0.12067178101598866,-0.15873314493987803,-0.13970246297793334
DLR,2024,-0.06220132450447966,-0.02943446854671806,-0.04581789652559886
DLR,2025,-0.035877802897314605,-0.020973891734488558,-0.02842584731590158
DOC,2014,-0.053666912352737406,0.08230505527147589,0.01431907145936924
DOC,2017,-0.22969200641973642,-0.06645619999824155,-0.14807410320898898
DOC,2018,-0.061679061019149745,0.009442097153824132,-0.026118481932662807
DOC,2020,-0.06515433738065601,0.0026320164450805462,-0.031261160467787735
DOC,2021,-0.028134479489076505,-0.02513515443634159,-0.02663481696270905
DOC,2022,-0.04168781490738741,0.00388083823196588,-0.018903488337710765
DOC,2023,-0.0762223808902113,0.023157963046092786,-0.026532208922059257
