word,coef,t_stat,p_value,converged,mean_count,std_count,status,section
adjust,-18.39126975278462,-3.0460826123853306e-05,0.9999756957771302,True,0.019668737060041408,0.14612416370075676,success,pros
admin,-20.08824621710562,-4.874035256911411e-05,0.9999611108252124,True,0.015527950310559006,0.1236399331515179,success,pros
administr,-16.483425878693325,-2.801039548246313e-05,0.9999776509379055,True,0.020703933747412008,0.16274661593722428,success,pros
admir,-18.32443650760514,-2.41190200465539e-05,0.999980755806285,True,0.012422360248447204,0.1197432193865114,success,pros
admit,1.5338417576337045,2.7356462895208416e-06,0.9999978172700618,True,0.003105590062111801,0.055641220084375526,success,pros
adopt,-18.64642629912067,-4.816403140430542e-05,0.9999615706629713,True,0.017598343685300208,0.13148628059548365,success,pros
adult,-17.968858328450203,-4.2120269170042155e-05,0.9999663928875423,True,0.014492753623188406,0.11951030798891768,success,pros
advanc,-15.077084629770104,-0.0011215846302381292,0.9991051051275217,True,0.7267080745341615,2.3943193061127506,success,pros
advantag,-17.37099041603575,-7.136157449490592e-05,0.9999430617015242,True,0.044513457556935816,0.23442348410880232,success,pros
adventur,-17.230600443577156,-1.8518477251945443e-05,0.9999852243929119,True,0.008281573498964804,0.1014070136336104,success,pros
advers,7.611559209090619,1.1103093167944895e-05,0.9999911410133844,True,0.002070393374741201,0.045454448033333636,success,pros
advertis,-19.430287998010908,-5.837945014567486e-05,0.9999534199380871,True,0.023809523809523808,0.24598721741348498,success,pros
advic,-18.691105140696823,-5.1040618782991717e-05,0.9999592754783169,True,0.019668737060041408,0.1388592015046333,success,pros
advis,6.483912005500857,1.0734153246633291e-05,0.9999914353848514,True,0.007246376811594203,0.10646433010253244,success,pros
advoc,2.5336953343886703,3.467483587937439e-06,0.9999972333483803,True,0.013457556935817806,0.12388238160399657,success,pros
affect,2.4841778414002174,3.5278910690420224e-06,0.9999971851501839,True,0.014492753623188406,0.11951030798891768,success,pros
afford,-13.302854388996169,-0.0007597652719927068,0.9993937950779641,True,0.057971014492753624,0.2589068099140727,success,pros
afraid,-16.85533400303132,-5.17303643826618e-05,0.9999587251409527,True,0.024844720496894408,0.1621661300489927,success,pros
afterward,1.8308820845949998,2.669121540982506e-06,0.9999978703491316,True,0.002070393374741201,0.045454448033333636,success,pros
age,-18.787664287387233,-9.101997837946389e-05,0.9999273765646267,True,0.022774327122153208,0.14918330049401093,success,pros
agenc,0.9127584259596639,1.8059059684746506e-06,0.9999985590955095,True,0.010351966873706004,0.11097385741828072,success,pros
agenda,3.5604811157353042,4.4567898651545685e-06,0.9999964439961758,True,0.004140786749482402,0.06421557937586261,success,pros
agent,-11.797370956207901,-0.0008397462115237005,0.9993299795415793,True,0.033126293995859216,0.25927905818357083,success,pros
aggress,-16.9374156196459,-2.408023398782432e-05,0.9999807867530824,True,0.014492753623188406,0.12787926763297938,success,pros
agil,-17.2230926129463,-2.6429962349928733e-05,0.9999789119411009,True,0.006211180124223602,0.07856590460045662,success,pros
ago,-13.589015205410606,-0.0008861148080051837,0.9992929827681188,True,0.07556935817805382,0.36041647874383553,success,pros
agoura,4.010134553265191,7.099576228307946e-06,0.9999943353577392,True,0.008281573498964804,0.1014070136336104,success,pros
agre,1.849289647127851,4.905158659393113e-06,0.9999960862496374,True,0.018633540372670808,0.1497568639339555,success,pros
agreement,1.694021874425406,3.4894303399805267e-06,0.9999972158374058,True,0.004140786749482402,0.06421557937586261,success,pros
ahead,-18.904558114088648,-0.00012036755223786494,0.9999039605886797,True,0.039337474120082816,0.2240812296877671,success,pros
ahr,-21.752592071345774,-3.580178200566153e-05,0.9999714343108945,True,0.052795031055900624,0.5917894516542022,success,pros
aid,-19.047147936149372,-2.6682014984304094e-05,0.9999787108321955,True,0.005175983436853002,0.07175787505434109,success,pros
aim,2.9930197299485175,3.7456958524813567e-06,0.9999970113671098,True,0.004140786749482402,0.06421557937586261,success,pros
air,-19.592031348495276,-5.757014055364966e-05,0.9999540656737144,True,0.022774327122153208,0.14918330049401093,success,pros
aka,2.6112987049571035,4.662201761684393e-06,0.999996280101195,True,0.003105590062111801,0.055641220084375526,success,pros
alarm,27.352197204896374,3.48477488885853e-06,0.9999972195519183,False,0.002070393374741201,0.045454448033333636,not_converged,pros
alexandria,-0.9779584407049721,-2.204134750525809e-06,0.9999982413549127,True,0.013457556935817806,0.24253887387683534,success,pros
align,-19.80710738656162,-5.9509533420016825e-05,0.9999525182620916,True,0.023809523809523808,0.18328829002201294,success,pros
alik,2.1114644653232792,2.776867777915656e-06,0.9999977843800726,True,0.012422360248447204,0.11076120807532303,success,pros
aliv,3.1790028751589903,4.631558622017519e-06,0.9999963045508831,True,0.002070393374741201,0.04545444803333365,success,pros
alloc,-21.753557738433692,-3.0474315319999437e-05,0.9999756850143089,True,0.005175983436853002,0.07175787505434109,success,pros
allot,4.523988727936796,6.600156598887946e-06,0.9999947338369509,True,0.002070393374741201,0.04545444803333364,success,pros
allow,-15.488567167246389,-0.0008620920510082944,0.9993121501477116,True,0.40683229813664595,1.3417622704896817,success,pros
almost,-13.330749564911526,-0.0007607986608487312,0.9993929705531889,True,0.15734989648033126,0.6387121616178448,success,pros
alon,-7.852891516250232,-0.00044223561490836064,0.9996471470421289,True,0.15320910973084886,0.9119207380379045,success,pros
along,-14.277646637834183,-0.0008386155586977428,0.9993308816716951,True,0.16666666666666666,0.5702843962582151,success,pros
alongsid,-17.968901044159242,-8.300150938491122e-05,0.9999337743772145,True,0.020703933747412008,0.14948469570339293,success,pros
alot,-17.21993185431658,-8.76409848020804e-05,0.9999300726114224,True,0.06832298136645963,0.3517049323668249,success,pros
