title,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Thriving in a Supportive and Dynamic Work Environment,"Mar 24, 2025","Fantastic company that values it's employees, fostering a positive and inclusive workplace. One of the stand-out aspects is the leadership - management genuinely cares about employees well being and professional development. The work environment is dynamic and inspiring with a perfect balance of professionalism and teamwork.",Based on my experience there are no cons for me working here at Prologis.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Great place to work,"Jun 5, 2025",Love working at a large company that feels small!,Many people need to be involved in decision making,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Great Place to Work,"Jun 10, 2025","They Walk the Walk
Strong Benefits
Opportunity for Advancement",A couple of antiquated software systems,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Great Company....,"Jun 10, 2025",Wonderful company culture and oh so many perks.,Endless meetings and at times unrealistic deadlines.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
"Prologis is an innovative, rock solid place to work","Mar 25, 2025","We're constantly trying new things, pushing boundaries, learning new technologies, and looking for ways to automate. Additionally, the company is well positioned for the coming years. They also have a great working environment, nice people who are also highly intelligent, and excellent benefits.","The workload gets heavy at times. It's difficult to expand and grow teams at times, especially with local resources.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
"Great culture, vision, and values","Mar 19, 2025",Leadership does an amazing job being ahead of the industry in vision and goals. Truly globally minded organization. Exciting place to work with ripe opportunities for those who are interested. Culture of openness and honest principles - not just corporate speak around fanciful ideologies.,"Hard work culture, driven by insistence of excellence, which is not necessarily a bad thing but could lead to burn out especially with resource constraints and headcount limits.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Great Company with Great Culture,"Apr 21, 2025","Growth company that is geographically diverse with many opportunities for career growth. Likes to promote from within. Employee culture is fantastic, with the team being the focus. Good compensation and support from the company.","Fast paced, even in the ""slow"" times, workloads can be overwhelming.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Great place to work,"Apr 21, 2025","- visionary leadership - growth industry - incredible bench strength - innovative - small employee base for a company of this size - steady, seasoned leaders - willingness to take chances - focus on hiring the best talent","- because many employees stay at the company so long, promotion opportunities can be limited","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Pretty Good,"May 29, 2025","Really good, benefits, culture & people",Work/life balance is not always honored.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
"A Phenomenal Place to Work: Prologis, Leading the Future of Logistics Real Estate","Oct 7, 2024","Working at Prologis is an incredible experience! The company’s forward-thinking leadership is truly inspiring, with a clear vision of transforming the logistics real estate industry. Management here doesn’t just support—they actively encourage innovation, and every day you feel like you're part of something that's reshaping the future. If you're looking for a company where innovation meets opportunity, with a supportive team that genuinely cares, Prologis is the place to be. I couldn’t be more proud to contribute to a company that's constantly evolving and always leading from the front!","Its not for an average 9-5'er, Its a very high performing team. You will be pushed to grow, think outside of the box, accept change and be a champion of it - a way maker!","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Great stable company,"May 7, 2025",The stability of Prologis is one small piece of what makes this a great place to work.,"Very few cons, has great benefits.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Career at Prologis,"Sep 16, 2024","Some say its old fashioned to spend your career at one company but my 23+ years at Prologis has been rewarding in so many ways. I've had work life balance raising a family, my colleagues are life long friends, my bosses encourage me and my company supports me and gives me opportunities and training whenever I lean in for more. I especially appreciate the company's culture of giving back with time and funds supporting education, environment and community support which is important to me personally. The company has a global day of service (IMPACT Day) where all employees around the world volunteer on the same day, + gives employees 32 hours a year to volunteer, + Matching Gifts, + Dollars 4 Doers program. You can never go wrong spending a career that fulfills you both professionally and personally at one company if it's a company like Prologis.","Prologis is always striving to be Ahead of What's Next so staying on top of your game, learning, growing and contributing in a big way can be a challenge and rewarding.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Collaborative. Inventive. Empowered. Global. Customer Driven.,"Sep 17, 2024","10 Years at Prologis! Over that time, we have more than doubled in size of our real estate portfolio, we've expanded into multiple new business lines, we've set the most ambitious net zero climate goals in the industry. I love how this company continues to evolve its strategy to meet our customers end goals. Personally, my career has taken many step changes over the decade, expanding from a local market role to a global one with more engaging and strategic customer face time. Prologis is a place for a career, not just a job. World class organization and team!","Demanding work environment! Great culture, but the expectation is for teammates is to roll up their sleeves, work hard and show passion. Not a great fit for people looking to coast.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Would give 6 stars if I could,"Mar 19, 2025","- Smart, caring leaders - Interesting work - Fantastic culture","- So much to do, so little time - Meeting heavy","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
not what it once was,"Feb 20, 2025",your peers typically are close knit people and great to work with,"overworked, underpaid. they went from valuing the employees to just be purely focusing on noi which in turn has caused a major uptick in employee turnover due to burn out. additionally, the new ops director turned what was once a great culture into a toxic one. if you value your mental health, stay away.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
"Good benefits, stable company","Apr 5, 2025","Decent WLB, depending on team of course. Good benefits","Lots of red tape, tough to get things done across teams.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Why I Chose Prologis,"Oct 4, 2024","Prologis remains the best employer I have worked for. I started as temp nearly 12 years ago and within my first week I decided that I wanted to work for and retire from this company. Luckily they wanted me as much as I wanted them. The culture, values and commitment to excellence were evident then and continue to be so today. The sense of pride I continue to feel in our shared values - integrity, mentorship, passion, accountability, courage and teamwork - is why I stay. It is a rare opportunity to find a company that aligns so closely with one's personal values.",After 12 years of employment here the pros heavily outweigh the cons. The pace for professional advancement - especially on the operations side of our business is slow and often frustrating. Opportunities for promotions are not easy to come by.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
A solid company that really tries hard to do its best,"Mar 19, 2025",Heavy investment in talent development A culture that includes elements of fun and team bonding Great opportunities for promotion,The pace can feel too fast sometimes,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
